timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime
1716982426732,2249,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,2246,0
1716982427966,1229,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,1229,0
1716982428671,2756,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,211784,1,8,https://qa-ford.emplifiknowledge.com/graphql,2120,0
1716982429268,1300,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,1299,0
1716982429468,3551,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,423124,1,8,https://qa-ford.emplifiknowledge.com/graphql,2922,0
1716982431761,2492,Schema,200,OK,Schema 1-1,text,true,,18098,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,2491,0
1716982432445,6534,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5785,1,8,https://qa-ford.emplifiknowledge.com/graphql,6534,0
1716982432544,782,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,782,0
1716982434527,4974,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,226445,1,8,https://qa-ford.emplifiknowledge.com/graphql,4962,0
1716982447468,18393,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,191028,1,8,https://qa-ford.emplifiknowledge.com/graphql,18135,0
1716982448655,16110,Schema,200,OK,Schema 1-1,text,true,,18099,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,16109,0
1716982449492,835,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,834,0
1716982450191,698,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,698,0
1716982450858,666,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,665,0
1716982451605,746,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,745,0
1716982452578,972,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,972,0
1716982453871,27940,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,6185803,1,8,https://qa-ford.emplifiknowledge.com/graphql,25768,0
1716982455622,23173,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5792,1,8,https://qa-ford.emplifiknowledge.com/graphql,23173,0
1716982455860,8378,Topic with Category Values,200,OK,Topic with Category Values 7-1,text,true,,144691,1,8,https://qa-ford.emplifiknowledge.com/graphql,8373,0
1716982456345,719,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5894,1,8,https://qa-ford.emplifiknowledge.com/graphql,719,0
1716982456723,375,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5957,1,8,https://qa-ford.emplifiknowledge.com/graphql,375,0
1716982456867,4288,Schema,200,OK,Schema 1-1,text,true,,18098,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,4288,0
1716982457843,975,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,975,0
1716982458166,1440,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5563,1,8,https://qa-ford.emplifiknowledge.com/graphql,1440,0
1716982458988,1144,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,1144,0
1716982460729,26185,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,86863,1,8,https://qa-ford.emplifiknowledge.com/graphql,26182,0
1716982460840,6348,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,4303180,1,8,https://qa-ford.emplifiknowledge.com/graphql,6058,0
1716982461158,2990,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,5845,1,8,https://qa-ford.emplifiknowledge.com/graphql,2990,0
1716982461228,492,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,91759,1,8,https://qa-ford.emplifiknowledge.com/graphql,490,0
1716982461581,420,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,6224,1,8,https://qa-ford.emplifiknowledge.com/graphql,420,0
1716982465571,6583,Schema,200,OK,Schema 1-1,text,true,,18098,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,6583,0
1716982466445,873,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,872,0
1716982467106,660,Schema,200,OK,Schema 1-1,text,true,,18095,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,659,0
1716982468041,934,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,933,0
1716982468693,651,Schema,200,OK,Schema 1-1,text,true,,18095,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,651,0
1716982469365,671,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,671,0
1716982470023,658,Schema,200,OK,Schema 1-1,text,true,,18095,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,658,0
1716982470686,661,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,661,0
1716982471360,673,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,673,0
1716982472024,663,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,663,0
1716982472691,666,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,666,0
1716982473469,777,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,777,0
1716982474266,796,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,796,0
1716982474416,12833,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,6505,1,8,https://qa-ford.emplifiknowledge.com/graphql,12833,0
1716982474970,49035,Topic with Labels,200,OK,Topic with Labels 3-1,text,true,,6185803,1,8,https://qa-ford.emplifiknowledge.com/graphql,41812,0
1716982476356,2089,Schema,200,OK,Schema 1-1,text,true,,18098,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,2089,0
1716982477061,2641,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,6067,1,8,https://qa-ford.emplifiknowledge.com/graphql,2641,0
1716982477092,735,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,735,0
1716982477012,16004,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,3288651,1,8,https://qa-ford.emplifiknowledge.com/graphql,15748,0
1716982477511,441,Topic with Attributes,200,OK,Topic with Attributes 6-1,text,true,,6457,1,8,https://qa-ford.emplifiknowledge.com/graphql,441,0
1716982477861,768,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,768,0
1716982478148,1009,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,2887656,1,8,https://qa-ford.emplifiknowledge.com/graphql,868,0
1716982478090,52141,Topics,200,OK,Topics 2-1,text,true,,6185803,1,8,https://qa-ford.emplifiknowledge.com/graphql,50992,0
1716982478526,664,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,664,0
1716982479213,17981,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,29045,1,8,https://qa-ford.emplifiknowledge.com/graphql,17981,0
1716982479274,748,Schema,200,OK,Schema 1-1,text,true,,18097,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,748,0
1716982479597,1111,Topics,200,OK,Topics 2-1,text,true,,4303179,1,8,https://qa-ford.emplifiknowledge.com/graphql,851,0
1716982479708,491,Topic with Examples,200,OK,Topic with Examples 4-1,text,true,,62196,1,8,https://qa-ford.emplifiknowledge.com/graphql,491,0
1716982479989,709,Schema,200,OK,Schema 1-1,text,true,,18096,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,708,0
1716982479977,1640,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,1972285,1,8,https://qa-ford.emplifiknowledge.com/graphql,1509,0
1716982480991,959,Topic with Response Templates,200,OK,Topic with Response Templates 5-1,text,true,,2540252,1,8,https://qa-ford.emplifiknowledge.com/graphql,828,0
1716982481651,1662,Schema,200,OK,Schema 1-1,text,true,,18098,1,8,https://qa-ford.emplifiknowledge.com/graphql/schema,1662,0
